,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
459,96.373,272,286,478,139,5000,6646.0,72.49318872065112,23.24152620033491
460,80.455,155,459,590,35,5000,6646.0,72.49424010082562,23.241526200334903
461,7.306,0,518,616,0,5000,6646.0,72.49529148100011,23.24152620033491
462,27.254,121,396,494,0,5000,6646.0,72.49634286117458,23.2415262003349
463,62.876,337,612,338,67,5000,6646.0,72.49739424134904,23.2415262003349
464,46.759,450,636,225,116,5000,6646.0,72.49844562152354,23.24152620033491
465,79.631,566,519,109,0,5000,6646.0,72.49949700169802,23.241526200334906
466,102.613,601,452,41,0,5000,6646.0,72.50054838187252,23.241526200334906
467,84.092,726,574,0,105,5000,6646.0,72.501599762047,23.241526200334906
468,81.328,853,700,51,48,5000,6646.0,72.50265114222147,23.241526200334906
469,64.692,988,831,87,87,5000,6646.0,72.50370252239594,23.241526200334906
470,14.988,1453,1301,612,254,5000,6646.0,72.50475390257044,23.24152620033491
471,73.459,1469,1317,629,308,5000,6646.0,72.50580528274492,23.2415262003349
472,86.588,1514,1362,674,433,5000,6646.0,72.50685666291939,23.2415262003349
473,81.274,1557,1404,716,592,5000,6646.0,72.50790804309389,23.241526200334903
474,93.939,1638,1485,797,666,5000,6646.0,72.50895942326837,23.2415262003349
475,100.211,1664,1511,823,700,5000,6646.0,72.51001080344284,23.241526200334906
476,59.959,492,366,6,87,5000,6646.0,72.48765055172098,23.24069088038104
477,42.596,590,465,119,185,5000,6646.0,72.4887019278159,23.24069088038104
478,23.477,567,441,231,162,5000,6646.0,72.4897533039108,23.240690880381045
479,44.568,722,592,280,87,5000,6646.0,72.4908046800057,23.24069088038104
480,67.658,606,568,287,28,5000,6646.0,72.4918560561006,23.24069088038104
481,82.071,408,430,336,4,5000,6646.0,72.49290743219552,23.24069088038104
482,120.328,263,567,498,0,5000,6646.0,72.49395880829044,23.240690880381038
483,54.33,263,567,498,0,5000,6646.0,72.49501018438536,23.240690880381045
484,54.419,355,632,492,28,5000,6646.0,72.49606156048026,23.240690880381045
485,85.436,332,607,343,62,5000,6646.0,72.49711293657518,23.24069088038104
486,126.372,418,652,257,120,5000,6646.0,72.49816431267007,23.240690880381038
487,89.892,507,579,168,59,5000,6646.0,72.499215688765,23.240690880381038
488,62.102,624,473,17,2,5000,6646.0,72.5002670648599,23.240690880381038
489,71.289,726,574,0,105,5000,6646.0,72.50131844095483,23.24069088038104
490,113.266,845,692,65,6,5000,6646.0,72.50236981704974,23.24069088038104
491,99.584,904,751,0,0,5000,6646.0,72.50342119314465,23.240690880381045
492,44.899,1132,980,292,292,5000,6646.0,72.50447256923957,23.240690880381038
493,56.766,1217,1065,377,348,5000,6646.0,72.50552394533449,23.240690880381038
494,48.264,1330,1178,489,428,5000,6646.0,72.50657532142938,23.24069088038104
495,61.872,1581,1429,741,618,5000,6646.0,72.50762669752429,23.24069088038104
496,36.862,1622,1469,781,658,5000,6646.0,72.50867807361922,23.240690880381045
497,25.259,1664,1511,823,700,5000,6646.0,72.50972944971413,23.240690880381045
498,4.074,1662,1301,1163,1257,5000,6646.0,72.4779069486897,23.239855562415844
499,9.631,1658,1307,1158,1253,5000,6646.0,72.47895832070523,23.239855562415844
500,0.111,915,790,416,510,5000,6646.0,72.4842151807829,23.239855562415848
501,1.86,915,790,416,510,5000,6646.0,72.48526655279842,23.23985556241584
502,63.718,703,578,204,298,5000,6646.0,72.48631792481396,23.239855562415848
503,40.936,703,578,204,298,5000,6646.0,72.48736929682947,23.23985556241584
504,103.104,675,549,203,270,5000,6646.0,72.48842066884501,23.239855562415844
