,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
775,5.267,714,492,621,758,1767,1152,8294.0,77.7950175441314,9.458434009344888
776,49.575,643,421,550,687,1696,1081,8294.0,77.79602378526373,9.458434009344886
777,71.257,622,400,529,666,1675,1060,8294.0,77.79703002639609,9.458434009344886
778,22.792,523,414,147,147,1530,541,8294.0,77.79904250866076,9.458434009344886
779,73.737,523,414,147,147,1530,541,8294.0,77.80004874979309,9.458434009344888
780,80.752,782,673,406,406,1637,306,8294.0,77.80105499092544,9.458434009344888
781,65.589,845,735,469,469,1570,239,8294.0,77.80206123205777,9.458434009344886
782,82.5,939,830,563,563,1608,277,8294.0,77.80306747319013,9.458434009344888
783,85.263,1071,961,695,695,1703,409,8294.0,77.80407371432246,9.458434009344886
784,94.828,1180,1071,805,805,1598,518,8294.0,77.80507995545481,9.458434009344888
785,94.356,1367,1257,991,991,1821,741,8294.0,77.80608619658713,9.458434009344886
786,85.003,1289,1180,914,914,1585,627,8294.0,77.80709243771949,9.458434009344888
787,91.144,1397,1288,1021,1021,1693,735,8294.0,77.80809867885183,9.458434009344886
788,48.749,1464,1354,1088,1088,1759,801,8294.0,77.80910491998416,9.458434009344886
789,41.498,1779,1724,1494,1494,1956,1207,8294.0,77.81011116111651,9.458434009344888
790,64.549,1871,1816,1620,1620,2044,1303,8294.0,77.81111740224885,9.458434009344888
791,23.548,1910,1855,1659,1659,2080,1342,8294.0,77.8121236433812,9.458434009344888
792,74.635,4092,3750,3628,1367,4595,4667,8294.0,77.77276674701469,9.457620991616103
793,24.374,4046,3704,3582,1321,4549,4621,8294.0,77.77377298667864,9.4576209916161
794,13.959,2346,2004,1882,819,2849,2922,8294.0,77.78081666432632,9.4576209916161
795,9.754,2346,2004,1882,819,2849,2922,8294.0,77.78182290399027,9.457620991616103
796,90.152,1935,1593,1471,408,2438,2510,8294.0,77.7838353833182,9.4576209916161
797,40.789,1868,1526,1404,342,2371,2443,8294.0,77.78484162298216,9.457620991616103
798,63.935,1725,1383,1261,462,2228,2300,8294.0,77.7858478626461,9.4576209916161
799,64.242,903,723,852,896,1778,1383,8294.0,77.79188530062986,9.457620991616103
800,44.096,868,688,817,861,1743,1348,8294.0,77.7928915402938,9.4576209916161
801,21.021,769,558,688,825,1822,1218,8294.0,77.79389777995776,9.457620991616103
802,65.518,674,452,581,718,1727,1112,8294.0,77.79490401962171,9.457620991616103
803,124.021,597,375,504,641,1650,1035,8294.0,77.79591025928569,9.457620991616103
804,75.39,488,266,395,532,1541,926,8294.0,77.79691649894964,9.457620991616102
805,76.784,375,266,0,0,1382,393,8294.0,77.79892897827756,9.457620991616103
806,97.214,453,344,78,78,1460,315,8294.0,77.7999352179415,9.4576209916161
807,112.235,538,429,162,162,1545,273,8294.0,77.80094145760548,9.457620991616103
808,77.445,783,674,408,408,1452,121,8294.0,77.80194769726941,9.457620991616103
809,119.274,881,771,505,505,1550,219,8294.0,77.80295393693336,9.4576209916161
810,101.536,936,826,560,560,1605,274,8294.0,77.80396017659731,9.457620991616103
811,72.769,1054,945,679,679,1472,392,8294.0,77.80496641626128,9.457620991616103
812,63.085,1115,1006,740,740,1411,453,8294.0,77.80597265592523,9.457620991616103
813,93.648,1265,1156,890,890,1561,603,8294.0,77.80697889558918,9.4576209916161
