,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
164,0.0,1391,1258,1078,1129,960,3020.0,12.621523185297287,13.319129476814716
165,0.0,1391,1258,1078,1129,960,3020.0,12.62253789954622,13.319129476814716
166,16.864,604,34,325,1129,1042,3020.0,12.603232037095058,13.318312226364515
167,44.65,344,162,666,870,783,3020.0,12.605261461359316,13.318312226364517
168,13.03,357,175,854,676,569,3020.0,12.606276173491441,13.318312226364515
169,43.67,329,219,898,632,525,3020.0,12.60729088562357,13.318312226364517
170,41.662,411,416,1095,435,504,3020.0,12.608305597755697,13.318312226364515
171,71.755,456,484,1163,456,571,3020.0,12.609320309887826,13.318312226364517
172,45.33,422,556,1168,422,539,3020.0,12.610335022019955,13.318312226364515
173,61.962,468,521,1116,341,606,3020.0,12.611349734152082,13.318312226364515
174,71.705,358,411,1007,232,496,3020.0,12.612364446284209,13.318312226364515
175,52.451,313,179,774,0,507,3020.0,12.613379158416336,13.318312226364515
176,52.418,415,281,725,101,571,3020.0,12.614393870548465,13.318312226364515
177,56.418,525,391,692,212,574,3020.0,12.615408582680592,13.318312226364515
178,70.975,600,466,736,286,618,3020.0,12.616423294812721,13.318312226364517
179,67.639,789,655,679,501,561,3020.0,12.61743800694485,13.318312226364515
180,61.53,875,741,693,587,575,3020.0,12.618452719076977,13.318312226364515
181,72.303,1035,901,776,779,658,3020.0,12.619467431209104,13.318312226364515
182,25.147,1139,1005,826,877,708,3020.0,12.620482143341233,13.318312226364515
183,21.379,1365,504,504,708,1611,3020.0,12.596102777031856,13.317494976969042
184,65.946,1363,502,502,710,1611,3020.0,12.59711748704733,13.317494976969044
185,52.667,1174,325,325,908,1532,3020.0,12.598132197062798,13.317494976969044
186,42.89,1153,304,304,921,1512,3020.0,12.599146907078268,13.317494976969044
187,32.168,965,110,110,1080,1360,3020.0,12.60016161709374,13.317494976969046
188,38.923,861,0,0,1155,1299,3020.0,12.601176327109204,13.317494976969044
189,16.781,569,69,291,1095,1008,3020.0,12.602191037124674,13.317494976969044
190,0.017,569,69,291,1095,1008,3020.0,12.603205747140146,13.317494976969046
191,6.722,409,212,451,935,848,3020.0,12.604220457155616,13.317494976969044
192,37.629,210,27,651,735,648,3020.0,12.605235167171086,13.317494976969042
193,31.62,196,13,664,721,634,3020.0,12.606249877186556,13.317494976969042
194,62.676,216,223,902,505,396,3020.0,12.607264587202021,13.317494976969042
195,52.102,320,357,1036,494,389,3020.0,12.608279297217495,13.317494976969044
196,65.132,321,455,1067,321,439,3020.0,12.609294007232965,13.317494976969042
197,65.414,254,388,1000,254,372,3020.0,12.610308717248435,13.317494976969044
198,86.511,137,271,883,137,276,3020.0,12.611323427263907,13.317494976969046
199,82.727,133,0,632,133,327,3020.0,12.612338137279371,13.317494976969046
200,55.986,313,179,774,0,507,3020.0,12.613352847294841,13.317494976969044
201,75.523,441,307,621,153,485,3020.0,12.614367557310313,13.317494976969042
202,64.684,541,407,612,253,494,3020.0,12.615382267325778,13.317494976969046
203,57.497,629,495,654,341,536,3020.0,12.616396977341246,13.317494976969044
204,85.415,740,606,621,505,503,3020.0,12.617411687356721,13.317494976969044
205,68.502,875,742,562,640,444,3020.0,12.61842639737219,13.317494976969046
206,52.899,988,854,675,752,557,3020.0,12.619441107387658,13.317494976969044
207,68.585,1062,928,749,826,631,3020.0,12.62045581740313,13.317494976969042
208,22.74,1298,565,565,633,1535,3020.0,12.596076503659132,13.316677728628214
209,68.917,1298,565,565,633,1535,3020.0,12.597091211558086,13.316677728628218
210,77.266,1237,376,376,825,1485,3020.0,12.598105919457039,13.316677728628216
211,40.849,1064,203,203,952,1325,3020.0,12.599120627355992,13.316677728628214
212,5.992,1064,203,203,952,1325,3020.0,12.600135335254945,13.316677728628216
213,0.332,409,212,451,935,848,3020.0,12.603179458951807,13.316677728628218
214,1.527,409,212,451,935,848,3020.0,12.604194166850759,13.316677728628216
215,0.232,210,27,651,735,648,3020.0,12.605208874749712,13.316677728628214
216,30.027,87,94,773,612,525,3020.0,12.606223582648669,13.316677728628216
217,60.335,161,298,977,430,321,3020.0,12.607238290547622,13.316677728628214
218,55.09,207,344,997,385,276,3020.0,12.608252998446574,13.316677728628214
219,61.414,365,487,981,365,260,3020.0,12.609267706345532,13.316677728628216
220,61.945,137,271,883,137,276,3020.0,12.61028241424448,13.316677728628214
221,66.908,50,184,796,50,244,3020.0,12.611297122143435,13.316677728628214
222,43.704,133,0,632,133,327,3020.0,12.612311830042387,13.316677728628216
223,88.353,255,121,511,255,298,3020.0,12.613326537941342,13.316677728628216
224,68.734,405,271,514,260,387,3020.0,12.614341245840297,13.316677728628214
225,77.266,534,400,536,298,418,3020.0,12.61535595373925,13.316677728628216
226,70.294,618,484,510,382,392,3020.0,12.6163706616382,13.316677728628216
227,65.796,779,645,444,544,326,3020.0,12.617385369537155,13.316677728628214
228,61.331,872,738,433,636,316,3020.0,12.618400077436108,13.316677728628218
229,61.813,1051,917,645,815,527,3020.0,12.61941478533506,13.316677728628214
230,59.29,1165,1031,759,736,641,3020.0,12.620429493234013,13.316677728628216
231,19.362,1277,1143,820,785,702,3020.0,12.621444201132972,13.316677728628218
