,POP_2015,community_space,education,food_choices,mobility,ID_HDC_G0,lng,lat
203,0.448,3921,864,1480,629,11606.0,113.11490475955931,28.780274064233254
204,15.496,3014,856,1472,381,11606.0,113.12140060738314,28.78027406423326
205,28.755,3108,950,1566,475,11606.0,113.1224832486871,28.780274064233254
206,14.394,3108,950,1566,475,11606.0,113.12356588999107,28.780274064233257
207,7.863,1182,742,1300,6,11606.0,113.13655758563873,28.780274064233257
208,7.471,1184,744,1306,0,11606.0,113.13764022694274,28.780274064233257
209,10.976,985,545,1489,117,11606.0,113.13872286824669,28.780274064233257
210,9.208,1090,650,1597,0,11606.0,113.13980550955064,28.78027406423326
211,11.891,784,322,1690,52,11606.0,113.1408881508546,28.780274064233257
212,6.322,27,1079,2425,310,11606.0,113.14413607476652,28.780274064233257
213,3.474,38,1068,2414,299,11606.0,113.14521871607052,28.780274064233257
214,2.576,161,945,2291,176,11606.0,113.14630135737448,28.78027406423326
215,16.874,1752,844,2568,106,11606.0,113.15712777041416,28.780274064233254
216,1.797,1814,906,2493,100,11606.0,113.15821041171816,28.780274064233257
217,16.285,1810,902,2267,39,11606.0,113.15929305302213,28.780274064233254
218,14.742,2646,1738,1717,0,11606.0,113.16795418345392,28.780274064233254
219,12.684,2788,1880,1628,142,11606.0,113.16903682475785,28.780274064233254
220,14.36,2952,2044,1463,306,11606.0,113.17011946606182,28.780274064233254
