,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
330,56.439,1853,330,298,714,1280,10466.0,106.76336693809174,31.851918121334833
331,63.527,1757,426,394,632,1376,10466.0,106.76447089754697,31.851918121334833
332,56.128,1702,482,449,577,1432,10466.0,106.76557485700225,31.851918121334833
333,50.551,1643,623,590,617,1573,10466.0,106.76667881645749,31.851918121334833
334,44.304,1735,714,681,708,1664,10466.0,106.76778277591274,31.851918121334833
335,3.271,1751,826,793,806,1776,10466.0,106.76888673536799,31.851918121334833
336,35.082,380,380,955,526,1952,10466.0,106.77219861373379,31.851918121334837
337,68.886,619,619,899,539,1966,10466.0,106.77330257318904,31.851918121334837
338,34.848,555,555,780,658,2084,10466.0,106.7744065326443,31.851918121334833
339,30.72,1115,293,909,924,2023,10466.0,106.77551049209954,31.851918121334837
340,10.484,1118,290,908,927,2026,10466.0,106.7766144515548,31.851918121334833
341,63.731,3249,0,1834,1394,1716,10466.0,106.74397971804144,31.851057556013235
342,78.305,3103,145,1688,1248,1571,10466.0,106.74508367108558,31.851057556013235
343,88.889,3023,269,1564,1125,1447,10466.0,106.7461876241297,31.851057556013235
344,79.722,2952,340,1493,1054,1376,10466.0,106.7472915771738,31.851057556013238
345,127.359,2796,384,1088,594,1019,10466.0,106.74949948326206,31.851057556013238
346,95.712,2791,379,1083,590,1014,10466.0,106.75060343630616,31.851057556013235
347,68.917,2669,483,965,483,1045,10466.0,106.75170738935027,31.851057556013238
