,POP_2015,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
178,165.609,2936,648,5000,9553.0,86.52074329754555,21.054568219322913
179,71.565,2936,648,5000,9553.0,86.52178460582887,21.054568219322906
180,156.846,5000,2430,5000,9553.0,86.49128786412018,21.05373782369175
181,112.268,4319,1215,5000,9553.0,86.49232916880608,21.05373782369175
182,335.154,2461,1135,5000,9553.0,86.51003134846657,21.05373782369175
183,196.533,2463,1133,5000,9553.0,86.51107265315247,21.05373782369175
184,191.072,2647,716,5000,9553.0,86.51419656721023,21.05373782369175
185,266.892,2647,716,5000,9553.0,86.51523787189613,21.05373782369175
186,236.729,2936,648,5000,9553.0,86.52044439532568,21.05373782369175
187,72.517,2936,648,5000,9553.0,86.5214857000116,21.05373782369176
188,155.512,5000,2430,5000,9553.0,86.49098907730229,21.052907429824657
189,323.28,3638,0,5000,9553.0,86.492030378391,21.052907429824664
190,219.965,2789,326,5000,9553.0,86.51806290560828,21.052907429824657
191,205.741,2891,341,5000,9553.0,86.51910420669698,21.05290742982466
192,143.638,2469,1435,5000,9553.0,86.50839236251696,21.052077037721553
193,289.561,2789,326,5000,9553.0,86.5177640399418,21.052077037721556
194,223.648,2832,283,5000,9553.0,86.51880533743346,21.052077037721553
195,147.257,2963,323,5000,9553.0,86.51984663492509,21.052077037721553
196,201.931,2963,323,5000,9553.0,86.51954777674355,21.051246647382353
197,254.192,3115,0,5000,9553.0,86.51820764294254,21.050416258806973
198,100.648,3268,5,5000,9553.0,86.48771150336843,21.04958587199533
199,318.327,3115,0,5000,9553.0,86.51790881771431,21.04958587199533
200,172.53,3195,79,5000,9553.0,86.51895010441591,21.04958587199533
201,174.201,3265,2,5000,9553.0,86.48741279711156,21.04875548694734
202,344.997,3324,209,5000,9553.0,86.51865129026898,21.04875548694734
203,182.754,3324,209,5000,9553.0,86.51969257337421,21.04875548694734
204,169.863,3402,439,5000,9553.0,86.52177513958469,21.04875548694734
205,201.677,3402,439,5000,9553.0,86.52147632932666,21.047925103662926
206,6.287,4178,1277,5000,9553.0,86.48339294941988,21.046264342384486
207,48.133,3962,638,5000,9553.0,86.48443422173716,21.04626434238448
208,21.971,3747,0,5000,9553.0,86.48413558135739,21.04543396439029
