,POP_2015,active_living,community_space,education,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
297,6.185,3233,2252,1920,4877,3157,12901.0,119.87554359185891,-0.9903551976441246
298,5.427,3233,2252,1920,4877,3157,12901.0,119.87654146122362,-0.9903551976441253
299,0.992,730,248,1075,3160,1092,12901.0,119.89450310978921,-0.9903551976441245
300,17.097,1687,1588,63,1508,2049,12901.0,119.90847328089578,-0.9903551976441235
301,85.658,1720,1563,0,1444,2083,12901.0,119.9094711502605,-0.9903551976441255
302,79.793,2293,0,212,212,3740,12901.0,119.92144558263755,-0.9903551976441235
303,22.815,2583,271,0,389,3917,12901.0,119.92244345200227,-0.9903551976441245
304,23.807,2583,271,0,389,3917,12901.0,119.92344132136706,-0.9903551976441244
305,35.856,3584,1759,1428,5000,3466,12901.0,119.87157016595727,-0.9911640118838984
306,115.766,3535,1710,1378,5000,3417,12901.0,119.87256803547228,-0.9911640118839005
307,58.963,3486,1660,1329,5000,3367,12901.0,119.87356590498729,-0.9911640118839005
308,2.48,2937,2456,2216,4581,2861,12901.0,119.87755738304739,-0.9911640118838985
309,2.742,2937,2456,2216,4581,2861,12901.0,119.8785552525624,-0.9911640118839004
310,11.728,730,248,1075,3160,1092,12901.0,119.89452116480281,-0.9911640118838984
311,42.041,481,0,1200,2911,843,12901.0,119.89651690383283,-0.9911640118839014
312,2.217,1720,1563,0,1444,2083,12901.0,119.90948920752814,-0.9911640118838985
313,0.0,2000,1283,279,1165,2362,12901.0,119.91148494655819,-0.9911640118839004
314,0.088,2293,0,212,212,3740,12901.0,119.9204657721934,-0.9911640118839014
315,80.377,2321,19,184,184,3712,12901.0,119.9214636417084,-0.9911640118839002
316,84.403,2583,271,0,389,3917,12901.0,119.92246151122342,-0.9911640118839004
317,67.073,2563,251,20,369,3897,12901.0,119.92345938073846,-0.9911640118838995
318,1.284,2937,2456,2216,4581,2861,12901.0,119.87757545025123,-0.9919728261993601
319,0.029,2937,2456,2216,4581,2861,12901.0,119.87857331991667,-0.9919728261993603
320,53.39,481,0,1200,2911,843,12901.0,119.89653497389418,-0.9919728261993583
321,23.69,2000,1283,279,1165,2362,12901.0,119.9115030188754,-0.9919728261993601
322,94.673,2388,0,118,118,3646,12901.0,119.92148171552957,-0.9919728261993612
323,10.445,3850,1559,1228,5000,3731,12901.0,119.8716063133044,-0.992781640590565
324,67.978,3872,1581,1250,5000,3754,12901.0,119.87260418312033,-0.992781640590565
325,2.13,2441,1960,1854,4406,2686,12901.0,119.88258288127966,-0.9927816405905628
326,0.0,2191,1710,1971,4156,2436,12901.0,119.88457862091154,-0.9927816405905621
327,0.0,2191,1710,1971,4156,2436,12901.0,119.88557649072744,-0.9927816405905645
328,43.325,2816,427,309,309,3218,12901.0,119.91850619465319,-0.9927816405905628
329,11.582,2816,427,309,309,3218,12901.0,119.91950406446912,-0.9927816405905665
330,80.377,2506,118,0,0,3527,12901.0,119.921499804101,-0.992781640590563
331,51.056,2506,118,0,0,3527,12901.0,119.92249767391694,-0.992781640590564
332,1.78,3850,1559,1228,5000,3731,12901.0,119.87162440909424,-0.9935904550575768
333,68.619,3850,1559,1228,5000,3731,12901.0,119.87262227906082,-0.9935904550575779
334,0.0,2191,1710,1971,4156,2436,12901.0,119.88459671865965,-0.9935904550575788
335,10.415,1719,1238,2438,4149,2082,12901.0,119.88858819852594,-0.9935904550575759
336,0.817,1719,1238,2438,4149,2082,12901.0,119.8895860684925,-0.9935904550575797
337,3.88,793,311,1511,3223,1155,12901.0,119.8965711582585,-0.9935904550575787
338,44.404,793,311,1511,3223,1155,12901.0,119.89756902822504,-0.9935904550575769
339,17.592,2816,427,309,309,3218,12901.0,119.91952216748959,-0.9935904550575759
340,0.0,4132,1596,1265,5000,4201,12901.0,119.86964677939358,-0.9943992696004583
341,0.0,4006,1471,1140,5000,4076,12901.0,119.87064464951092,-0.9943992696004604
342,13.654,3957,1452,1120,5000,3839,12901.0,119.87164251962828,-0.9943992696004604
343,39.649,3957,1452,1120,5000,3839,12901.0,119.87264038974557,-0.9943992696004583
344,1.05,3512,1515,1184,5000,3756,12901.0,119.87563400009758,-0.9943992696004604
345,0.0,3512,1515,1184,5000,3756,12901.0,119.87663187021491,-0.9943992696004604
