,POP_2015,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
398,29.949,319,1968,1812,1968,1968,3696.0,26.970454893344918,-16.818501561059378
399,43.638,431,1856,1699,1856,1856,3696.0,26.971479976672615,-16.818501561059378
400,53.567,647,1765,1609,1765,1765,3696.0,26.972505060000312,-16.818501561059378
401,69.473,668,1743,1587,1743,1743,3696.0,26.973530143328006,-16.818501561059374
402,62.008,770,1617,1460,1617,1617,3696.0,26.974555226655703,-16.818501561059378
403,66.015,617,1592,1436,1592,1592,3696.0,26.975580309983403,-16.81850156105938
404,56.227,512,1491,1335,1491,1491,3696.0,26.976605393311093,-16.818501561059378
405,60.696,490,1485,1329,1485,1485,3696.0,26.97763047663879,-16.81850156105938
406,68.87,403,1446,1290,1446,1446,3696.0,26.978655559966484,-16.818501561059378
407,53.904,249,1463,1306,1463,1463,3696.0,26.979680643294184,-16.818501561059378
408,17.696,114,1356,1200,1356,1356,3696.0,26.980705726621878,-16.818501561059378
409,15.118,105,1347,1191,1347,1347,3696.0,26.98173080994957,-16.818501561059378
410,28.938,476,1718,1562,1718,1718,3696.0,26.982755893277265,-16.818501561059378
411,16.069,476,1718,1562,1718,1718,3696.0,26.98378097660496,-16.818501561059378
412,13.083,573,2045,1889,2045,2045,3696.0,26.986856226588053,-16.81850156105938
413,13.614,623,1947,2026,2182,2182,3696.0,26.987881309915746,-16.818501561059378
414,37.12,284,1972,2125,2411,2411,3696.0,26.98890639324345,-16.818501561059378
415,58.189,237,2011,2163,2458,2458,3696.0,26.989931476571137,-16.818501561059378
416,43.106,304,1938,2090,2415,2415,3696.0,26.990956559898834,-16.818501561059378
417,2.163,587,2924,2766,2924,2924,3696.0,26.960276391952217,-16.81932396319351
418,1.631,587,2924,2766,2924,2924,3696.0,26.961301478030123,-16.819323963193515
419,75.129,98,2435,2276,2435,2435,3696.0,26.963351650185928,-16.81932396319351
420,20.764,0,2336,2178,2336,2336,3696.0,26.964376736263834,-16.81932396319351
421,20.001,0,2336,2178,2336,2336,3696.0,26.965401822341743,-16.81932396319351
422,4.167,315,2112,1954,2112,2112,3696.0,26.96745199449755,-16.81932396319351
423,4.114,315,2112,1954,2112,2112,3696.0,26.96847708057546,-16.81932396319351
424,50.464,238,2053,1897,2053,2053,3696.0,26.969502166653367,-16.819323963193515
425,46.493,193,2093,1937,2093,2093,3696.0,26.970527252731262,-16.81932396319351
426,69.579,247,2065,1909,2065,2065,3696.0,26.97155233880918,-16.81932396319351
427,83.871,359,1989,1832,1989,1989,3696.0,26.97257742488708,-16.81932396319351
