,POP_2015,active_living,community_space,education,food_choices,mobility,ID_HDC_G0,lng,lat
169,159.12,1132,332,1317,987,850,10360.0,99.60765389654631,21.29628864072657
170,145.842,1085,271,1167,940,760,10360.0,99.60869625919887,21.29628864072657
171,109.572,1241,264,1231,1096,916,10360.0,99.60973862185139,21.29628864072657
172,81.815,1253,253,1243,1108,927,10360.0,99.61078098450395,21.29628864072657
173,34.996,1837,383,951,1405,889,10360.0,99.61182334715649,21.29628864072657
174,81.306,1580,114,940,1207,878,10360.0,99.61286570980907,21.29628864072657
175,138.675,1698,232,822,1325,760,10360.0,99.61390807246161,21.29628864072657
176,141.84,1854,365,811,1191,749,10360.0,99.61495043511417,21.29628864072657
177,97.422,1850,401,775,1227,713,10360.0,99.61599279776671,21.29628864072657
178,126.67,2053,617,962,1047,900,10360.0,99.61703516041928,21.29628864072657
179,100.041,2242,842,1137,889,1075,10360.0,99.61807752307183,21.29628864072657
180,118.776,2221,867,1117,915,1055,10360.0,99.61911988572436,21.29628864072657
181,82.907,2313,1058,1202,841,1140,10360.0,99.62016224837693,21.29628864072657
182,92.729,2366,1114,1255,896,1193,10360.0,99.62120461102948,21.29628864072657
183,67.955,2400,1186,1290,997,1228,10360.0,99.62224697368202,21.29628864072657
184,46.783,1205,1022,830,678,1906,10360.0,99.59271217180086,21.29545772822212
185,122.705,1205,1022,830,678,1906,10360.0,99.59375453080443,21.29545772822212
186,86.727,927,794,492,582,1508,10360.0,99.59688160781499,21.29545772822212
187,164.067,681,757,459,507,1374,10360.0,99.59792396681851,21.295457728222125
188,18.735,734,792,495,463,1427,10360.0,99.59896632582203,21.295457728222125
189,81.379,790,286,223,254,1000,10360.0,99.6000086848256,21.295457728222125
190,149.734,756,225,284,220,939,10360.0,99.6010510438291,21.29545772822212
191,144.205,847,290,447,470,864,10360.0,99.60209340283264,21.29545772822212
192,107.644,821,223,650,444,751,10360.0,99.60313576183617,21.295457728222125
193,130.599,839,203,668,461,731,10360.0,99.60417812083969,21.295457728222125
194,138.93,793,57,809,603,630,10360.0,99.60522047984325,21.29545772822212
195,172.653,907,93,1092,762,611,10360.0,99.6073051978503,21.295457728222118
196,159.265,1067,253,1185,922,742,10360.0,99.60834755685384,21.29545772822212
197,166.796,1076,260,1262,915,650,10360.0,99.60938991585735,21.29545772822212
198,65.481,1837,383,951,1405,889,10360.0,99.6114746338644,21.295457728222125
199,155.518,1800,345,914,1368,852,10360.0,99.61251699286794,21.29545772822212
200,119.685,1731,322,804,1302,742,10360.0,99.61355935187147,21.29545772822212
201,138.893,1814,377,738,1263,676,10360.0,99.61460171087501,21.29545772822212
