,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
269,409.092,114,1407,462,318,196,2451,1878.0,-0.7603375916632096,35.7413245853524
270,500.837,179,1571,559,481,292,2561,1878.0,-0.7592019119146461,35.74132458535241
271,448.615,83,1809,491,681,224,2633,1878.0,-0.7580662321660828,35.7413245853524
272,422.31,110,1836,464,653,252,2660,1878.0,-0.7569305524175194,35.74132458535241
273,461.055,195,1921,380,569,336,2744,1878.0,-0.7557948726689558,35.74132458535241
274,292.597,366,2051,391,580,429,2916,1878.0,-0.7546591929203925,35.7413245853524
275,278.343,530,1933,555,710,592,3079,1878.0,-0.7535235131718291,35.74132458535241
276,348.966,560,1891,438,419,411,3110,1878.0,-0.7523878334232657,35.74132458535241
277,277.566,716,1746,742,524,779,3266,1878.0,-0.7512521536747021,35.7413245853524
278,100.297,827,1683,852,461,889,3376,1878.0,-0.7501164739261387,35.74132458535241
279,68.549,1622,870,1410,439,1067,1929,1878.0,-0.7762317834771019,35.74044914743969
280,267.329,1528,776,1316,345,973,1776,1878.0,-0.7750961115188326,35.74044914743969
281,211.997,1630,969,1418,447,1119,2092,1878.0,-0.7739604395605632,35.74044914743968
282,400.41,1467,807,1255,284,956,1929,1878.0,-0.7728247676022938,35.74044914743968
283,428.918,1461,982,1249,460,1132,2105,1878.0,-0.7716890956440245,35.74044914743969
284,301.15,1359,1086,1147,563,1177,2209,1878.0,-0.7705534236857552,35.74044914743968
285,390.951,1099,1065,887,535,917,2187,1878.0,-0.7694177517274858,35.74044914743969
286,522.866,1078,1044,866,514,896,2165,1878.0,-0.7682820797692166,35.74044914743969
287,474.531,1063,1029,851,499,881,2150,1878.0,-0.767146407810947,35.74044914743968
288,344.171,1136,1120,924,572,954,2242,1878.0,-0.7660107358526775,35.74044914743968
289,295.837,723,2016,859,926,593,3060,1878.0,-0.7648750638944082,35.74044914743968
290,177.269,148,1441,429,351,162,2485,1878.0,-0.7603323760613309,35.74044914743969
291,227.158,224,1523,346,434,80,2567,1878.0,-0.7591967041030616,35.74044914743969
292,555.909,305,1604,266,514,0,2648,1878.0,-0.7580610321447923,35.74044914743969
293,519.108,195,1921,380,569,336,2744,1878.0,-0.7569253601865229,35.74044914743969
294,517.682,281,1974,303,503,340,2831,1878.0,-0.7557896882282534,35.74044914743968
295,631.326,388,1924,265,453,302,2937,1878.0,-0.7546540162699843,35.74044914743969
296,521.57,526,1879,404,407,376,3075,1878.0,-0.7535183443117149,35.74044914743969
297,350.91,560,1891,438,419,411,3110,1878.0,-0.7523826723534455,35.74044914743968
298,220.031,743,1719,769,497,806,3293,1878.0,-0.7512470003951761,35.74044914743969
299,495.005,827,1683,852,461,889,3376,1878.0,-0.750111328436907,35.74044914743968
300,453.28,981,1482,850,259,794,3530,1878.0,-0.7489756564786375,35.74044914743969
301,272.383,1030,1498,920,329,864,3580,1878.0,-0.7478399845203682,35.74044914743968
302,183.489,1163,1366,1051,461,995,3712,1878.0,-0.7467043125620988,35.74044914743969
303,12.051,1197,1332,1084,494,1028,3746,1878.0,-0.7455686406038294,35.74044914743968
304,50.667,1705,953,1493,521,1149,2011,1878.0,-0.7762264590442753,35.73957371314788
305,434.49,1741,1028,1529,558,1224,2086,1878.0,-0.7750907948759591,35.739573713147884
306,410.388,1647,987,1435,464,1136,2100,1878.0,-0.7739551307076427,35.739573713147884
307,444.209,1498,903,1287,381,1053,2026,1878.0,-0.7728194665393262,35.739573713147884
308,583.381,1390,971,1178,448,1121,2094,1878.0,-0.7716838023710099,35.739573713147884
309,442.006,1283,1086,1071,563,1101,2208,1878.0,-0.7705481382026933,35.739573713147884
310,343.653,1197,1153,985,626,1015,2275,1878.0,-0.7694124740343768,35.739573713147884
311,521.958,1154,1120,942,590,972,2241,1878.0,-0.7682768098660606,35.739573713147884
312,561.611,1201,1167,989,637,1019,2289,1878.0,-0.767141145697744,35.73957371314788
313,502.91,1264,1230,1052,700,1082,2351,1878.0,-0.7660054815294276,35.739573713147884
314,484.898,723,2016,859,926,593,3060,1878.0,-0.7648698173611114,35.739573713147884
