,POP_2015,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
312,61.934,5000,1132,438,1462,6591.0,75.64533409488752,32.27999685532193
313,84.55,4916,992,546,1321,6591.0,75.64644127530532,32.27999685532193
314,87.911,4859,936,499,1265,6591.0,75.64754845572311,32.279996855321926
315,64.748,4825,902,416,1231,6591.0,75.6486556361409,32.27999685532193
316,119.412,4970,1047,319,1376,6591.0,75.6497628165587,32.27999685532193
317,122.356,4963,1141,380,1470,6591.0,75.6508699969765,32.279996855321926
318,81.058,4910,1230,209,1474,6591.0,75.6519771773943,32.27999685532193
319,126.108,4790,1111,154,1354,6591.0,75.6530843578121,32.27999685532194
320,77.046,4696,1016,207,1260,6591.0,75.6541915382299,32.27999685532193
321,56.645,4802,1122,225,1366,6591.0,75.65529871864769,32.27999685532193
322,71.392,4993,1313,280,1557,6591.0,75.65640589906549,32.27999685532193
323,140.778,4993,1313,280,1557,6591.0,75.6575130794833,32.27999685532194
324,40.855,5000,1547,0,1790,6591.0,75.65862025990107,32.27999685532193
325,59.823,5000,1460,86,1704,6591.0,75.65972744031885,32.27999685532193
326,24.805,5000,1632,289,1876,6591.0,75.66083462073667,32.27999685532194
327,28.27,5000,1730,387,1974,6591.0,75.66194180115447,32.27999685532193
328,1.589,5000,2033,583,2277,6591.0,75.66304898157227,32.27999685532194
329,70.376,5000,1993,543,2237,6591.0,75.66415616199006,32.27999685532194
330,132.726,5000,1978,528,2222,6591.0,75.66526334240785,32.27999685532193
331,119.933,5000,2397,946,2640,6591.0,75.66637052282564,32.27999685532194
332,21.626,5000,2397,946,2640,6591.0,75.66747770324343,32.27999685532193
333,132.961,4214,2312,934,1802,6591.0,75.6316004484653,32.27913476785867
334,132.492,4284,2241,864,1756,6591.0,75.6327076223324,32.27913476785868
335,88.901,4453,2072,695,1587,6591.0,75.6338147961995,32.279134767858665
336,88.771,4539,1987,609,1502,6591.0,75.6349219700666,32.27913476785868
337,108.938,4576,1911,593,1426,6591.0,75.63602914393373,32.27913476785868
338,91.637,4769,1719,421,1591,6591.0,75.63713631780081,32.27913476785867
339,120.168,4847,1666,370,1606,6591.0,75.63824349166792,32.27913476785868
340,158.573,4934,1566,283,1610,6591.0,75.639350665535,32.27913476785868
341,137.677,5000,1472,164,1679,6591.0,75.64045783940209,32.27913476785868
342,78.766,5000,1294,159,1776,6591.0,75.64156501326919,32.27913476785867
343,87.677,5000,1243,201,1676,6591.0,75.6426721871363,32.27913476785868
344,114.019,5000,1227,263,1556,6591.0,75.64377936100341,32.27913476785868
345,163.732,5000,1131,359,1460,6591.0,75.6448865348705,32.27913476785867
346,159.98,4935,1012,475,1341,6591.0,75.64599370873758,32.27913476785868
347,173.816,4745,822,385,1151,6591.0,75.6471008826047,32.27913476785867
348,103.18,4728,804,359,1133,6591.0,75.6482080564718,32.27913476785868
349,152.789,4646,722,265,1051,6591.0,75.6493152303389,32.27913476785868
350,168.996,4977,1155,394,1484,6591.0,75.650422404206,32.27913476785867
351,148.099,4817,1137,302,1381,6591.0,75.6515295780731,32.27913476785868
352,166.468,4741,1062,346,1305,6591.0,75.6526367519402,32.27913476785867
353,116.781,4648,969,269,1212,6591.0,75.65374392580728,32.27913476785868
354,95.806,4647,968,325,1211,6591.0,75.65485109967439,32.27913476785868
355,93.982,4911,1231,362,1475,6591.0,75.65595827354147,32.27913476785867
356,96.301,4869,1189,421,1433,6591.0,75.6570654474086,32.27913476785868
357,34.419,4811,1131,384,1375,6591.0,75.65817262127568,32.27913476785867
358,57.713,5000,1445,102,1688,6591.0,75.65927979514281,32.27913476785868
359,17.587,5000,1890,439,2133,6591.0,75.66370849061119,32.27913476785867
360,106.515,5000,1926,475,2169,6591.0,75.66481566447828,32.27913476785868
361,91.429,5000,1926,476,2170,6591.0,75.66592283834538,32.27913476785867
