,POP_2015,community_space,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
180,80.391,631,159,1104,1651,12105.0,116.25838203353229,28.37322099147633
181,77.686,444,347,969,1582,12105.0,116.25946207517043,28.373220991476334
182,95.4,278,366,804,1747,12105.0,116.26054211680857,28.37322099147633
183,116.086,53,399,190,2278,12105.0,116.26486228336113,28.37322099147633
184,30.744,53,399,190,2278,12105.0,116.26594232499927,28.37322099147633
185,27.386,144,209,0,2469,12105.0,116.2670223666374,28.37322099147633
186,61.59,144,209,0,2469,12105.0,116.26810240827554,28.37322099147633
187,35.717,2295,2228,4876,1204,12105.0,116.21784261096863,28.37237181583522
188,39.02,2295,2228,4876,1204,12105.0,116.21892264723638,28.372371815835216
189,3.348,1091,1023,3672,0,12105.0,116.2308030461818,28.37237181583522
190,69.372,590,1209,3205,949,12105.0,116.23512319125287,28.372371815835216
191,72.941,590,1209,3205,949,12105.0,116.23620322752066,28.37237181583522
192,79.282,402,1020,3017,761,12105.0,116.23728326378841,28.372371815835216
193,93.848,250,868,2865,609,12105.0,116.23836330005615,28.37237181583522
194,41.659,228,853,2810,587,12105.0,116.23944333632392,28.372371815835216
195,65.803,216,853,2773,576,12105.0,116.2405233725917,28.372371815835216
196,75.691,731,920,2258,449,12105.0,116.24484351766277,28.372371815835216
197,67.244,731,920,2258,449,12105.0,116.24592355393051,28.372371815835212
198,68.995,935,941,2053,653,12105.0,116.24700359019829,28.372371815835212
199,89.215,935,941,2053,653,12105.0,116.24808362646606,28.372371815835216
200,75.602,1143,734,1846,861,12105.0,116.2491636627338,28.372371815835212
201,82.164,1143,734,1846,861,12105.0,116.25024369900157,28.372371815835216
202,87.242,963,498,1610,1097,12105.0,116.25240377153712,28.372371815835216
203,78.772,1150,935,1411,1328,12105.0,116.25456384407263,28.372371815835216
204,100.766,687,221,1347,1373,12105.0,116.2556438803404,28.372371815835212
205,98.15,663,0,1264,1595,12105.0,116.25672391660818,28.372371815835216
206,108.924,631,159,1104,1651,12105.0,116.25780395287593,28.372371815835212
207,61.812,385,260,910,1854,12105.0,116.25996402541146,28.372371815835212
208,95.046,0,645,826,2026,12105.0,116.26212409794698,28.372371815835216
209,119.699,0,645,826,2026,12105.0,116.26320413421476,28.37237181583521
210,115.31,190,264,326,2372,12105.0,116.26428417048253,28.372371815835216
211,44.833,190,264,326,2372,12105.0,116.26536420675029,28.372371815835216
212,59.151,144,209,0,2469,12105.0,116.26644424301804,28.37237181583521
213,70.769,144,209,0,2469,12105.0,116.26752427928581,28.372371815835216
214,80.856,731,920,2258,449,12105.0,116.24426552681328,28.371522642768873
215,42.546,742,920,2250,460,12105.0,116.2453455577109,28.37152264276887
