,POP_2015,active_living,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
214,16.404,2189,771,2392,757,5157.0,38.75587485450837,9.149539636044619
215,56.2,2269,851,2473,822,5157.0,38.75688054715962,9.149539636044619
216,44.235,2357,939,2560,857,5157.0,38.757886239810865,9.149539636044619
217,76.166,2498,1080,2702,848,5157.0,38.7588919324621,9.149539636044619
218,26.868,2278,855,2482,354,5157.0,38.75280312580373,9.148726893062255
219,27.509,2033,610,2236,406,5157.0,38.753808817036706,9.148726893062255
220,2.346,2275,854,2478,662,5157.0,38.75582019950265,9.148726893062253
221,37.079,2306,888,2510,724,5157.0,38.756825890735634,9.148726893062255
222,42.395,2453,1035,2657,807,5157.0,38.75783158196861,9.148726893062255
223,24.37,2476,1058,2680,826,5157.0,38.75883727320158,9.148726893062255
224,34.21,2317,894,2521,393,5157.0,38.751742790308064,9.147914150790449
225,61.803,2298,874,2501,373,5157.0,38.75274848012291,9.147914150790449
226,25.788,2187,764,2391,288,5157.0,38.75375416993775,9.14791415079045
227,2.599,2394,971,2598,534,5157.0,38.755765549567435,9.14791415079045
228,62.732,2466,1048,2669,598,5157.0,38.75677123938227,9.147914150790449
229,37.011,2522,1104,2726,648,5157.0,38.75777692919711,9.147914150790449
230,5.232,2518,1100,2722,701,5157.0,38.75878261901195,9.147914150790449
231,52.842,2881,1458,3084,441,5157.0,38.74967677432161,9.14710140922914
232,24.033,2881,1458,3084,441,5157.0,38.750682462718444,9.147101409229144
233,67.896,2317,894,2521,393,5157.0,38.75168815111528,9.147101409229142
234,50.563,2219,795,2422,294,5157.0,38.752693839512126,9.147101409229142
235,32.724,2219,795,2422,294,5157.0,38.753699527908964,9.147101409229142
236,35.897,2481,1058,2685,447,5157.0,38.75571090470263,9.147101409229142
237,45.281,2535,1117,2739,585,5157.0,38.75671659309946,9.147101409229142
238,32.336,2642,1224,2846,693,5157.0,38.7577222814963,9.14710140922914
239,2.987,2671,1253,2875,722,5157.0,38.758727969893144,9.147101409229144
240,63.373,2881,1458,3084,441,5157.0,38.74962214303441,9.146288668378263
241,62.073,2881,1458,3084,441,5157.0,38.750627830013364,9.146288668378263
242,36.454,2301,877,2504,138,5157.0,38.75364489095028,9.146288668378265
243,47.07,2329,906,2533,109,5157.0,38.75465057792923,9.146288668378265
244,46.378,2508,1085,2711,402,5157.0,38.755656264908204,9.146288668378265
245,38.581,2786,1368,2990,607,5157.0,38.75666195188717,9.146288668378267
246,31.425,2830,1407,3034,561,5157.0,38.75766763886613,9.146288668378265
247,13.316,2727,1309,2931,685,5157.0,38.7586733258451,9.146288668378265
248,63.204,2971,1548,3175,532,5157.0,38.74956751681672,9.14547592823775
249,65.466,2620,1197,2823,180,5157.0,38.75157888793918,9.145475928237751
250,44.268,2609,1185,2812,169,5157.0,38.7525845735004,9.145475928237751
251,44.521,2439,1016,2642,0,5157.0,38.75359025906163,9.14547592823775
252,54.816,2439,1016,2642,0,5157.0,38.75459594462286,9.145475928237751
253,58.31,2628,1205,2832,328,5157.0,38.755601630184074,9.14547592823775
254,62.85,2757,1333,2960,487,5157.0,38.756607315745306,9.145475928237751
255,5.924,2830,1407,3034,561,5157.0,38.75761300130653,9.14547592823775
256,65.567,2693,1269,2896,253,5157.0,38.751524263955716,9.144663188807533
257,71.12,2693,1269,2896,253,5157.0,38.75252994809935,9.144663188807534
258,65.314,2439,1016,2642,0,5157.0,38.753535632242965,9.144663188807533
259,70.833,2659,1236,2862,220,5157.0,38.754541316386586,9.144663188807534
260,45.635,2854,1431,3058,415,5157.0,38.75554700053019,9.144663188807534
261,71.795,3002,1579,3206,563,5157.0,38.75655268467381,9.144663188807533
262,42.074,2894,1471,3098,563,5157.0,38.75755836881743,9.144663188807533
263,44.606,2803,1380,3007,364,5157.0,38.751469645041915,9.143850450087553
264,57.652,2803,1380,3007,364,5157.0,38.75247532776806,9.143850450087553
265,63.576,2551,1127,2754,111,5157.0,38.753481010494205,9.143850450087552
266,40.623,2745,1322,2949,306,5157.0,38.75448669322035,9.143850450087553
267,43.07,2851,1428,3055,412,5157.0,38.75549237594648,9.14385045008755
268,56.858,3002,1579,3206,527,5157.0,38.756498058672626,9.143850450087552
269,67.761,2951,1527,3154,568,5157.0,38.75750374139877,9.143850450087553
270,31.83,3085,1662,3289,583,5157.0,38.75850942412491,9.143850450087552
271,12.708,2803,1380,3007,364,5157.0,38.75141503119771,9.143037712077739
272,62.344,2721,1298,2924,281,5157.0,38.75242071250651,9.143037712077737
273,58.799,2721,1298,2924,281,5157.0,38.7534263938153,9.143037712077739
274,11.797,2798,1375,3002,359,5157.0,38.75443207512411,9.143037712077739
275,45.804,2874,1451,3077,297,5157.0,38.7554377564329,9.143037712077739
276,51.947,3005,1582,3209,382,5157.0,38.756443437741694,9.143037712077739
277,59.66,3025,1602,3229,494,5157.0,38.75744911905049,9.143037712077739
278,42.294,3076,1653,3280,544,5157.0,38.758454800359296,9.143037712077739
279,41.332,3116,1693,3320,284,5157.0,38.75236610231461,9.14222497477803
280,60.588,2967,1544,3171,270,5157.0,38.7533717822062,9.14222497477803
281,39.644,2742,1319,2945,179,5157.0,38.75437746209778,9.142224974778028
282,61.668,2969,1546,3172,220,5157.0,38.75538314198936,9.142224974778031
283,61.078,3079,1656,3282,330,5157.0,38.75638882188095,9.14222497477803
284,61.466,3152,1729,3355,277,5157.0,38.757394501772524,9.14222497477803
285,64.841,3191,1768,3394,417,5157.0,38.758400181664115,9.14222497477803
286,16.708,3116,1693,3320,284,5157.0,38.752311497192316,9.141412238188359
287,41.922,3075,1651,3278,242,5157.0,38.75331717566683,9.141412238188359
288,29.265,2877,1454,3080,99,5157.0,38.75432285414132,9.141412238188359
289,13.974,2993,1569,3196,218,5157.0,38.75532853261582,9.141412238188359
290,59.964,3044,1621,3248,146,5157.0,38.756334211090326,9.141412238188359
291,41.737,3161,1738,3364,277,5157.0,38.75733988956481,9.141412238188359
292,62.006,3257,1834,3461,434,5157.0,38.758345568039324,9.141412238188359
293,11.443,2969,1545,3172,136,5157.0,38.7532625741971,9.140599502308659
294,29.147,2969,1545,3172,136,5157.0,38.75426825125466,9.140599502308659
295,8.219,2922,1499,3125,0,5157.0,38.7552739283122,9.140599502308657
296,10.531,3046,1623,3249,123,5157.0,38.756279605369755,9.140599502308659
297,0.304,3273,1850,3477,430,5157.0,38.75829095948486,9.140599502308657
298,6.751,3110,1686,3313,187,5157.0,38.75521932907844,9.139786767138865
299,12.455,3439,2016,3642,516,5157.0,38.756225004719184,9.139786767138865
300,23.341,3580,2157,3784,658,5157.0,38.757230680359925,9.139786767138865
301,19.493,3690,2267,3894,768,5157.0,38.758236356000644,9.139786767138865
302,60.47,3243,1819,3446,410,5157.0,38.752147712242355,9.138974032678918
303,32.623,3243,1819,3446,410,5157.0,38.75315338646641,9.138974032678918
