,POP_2015,active_living,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
231,17.668,971,1456,118,1395,1847,8157.0,80.18523548984503,21.805145748042676
232,104.403,893,1378,34,1317,1770,8157.0,80.18628011931095,21.805145748042676
233,90.076,810,1451,99,1390,1687,8157.0,80.18732474877687,21.805145748042673
234,73.522,904,1580,0,1519,1625,8157.0,80.18836937824281,21.805145748042676
235,81.317,1051,1629,374,1513,1509,8157.0,80.18941400770873,21.805145748042676
236,88.547,1089,1668,413,1523,1548,8157.0,80.19045863717467,21.805145748042673
237,85.395,1241,1820,564,1411,1700,8157.0,80.19150326664058,21.805145748042676
238,106.517,1279,1851,603,1384,1731,8157.0,80.19254789610652,21.805145748042676
239,83.205,1374,1938,619,1287,1666,8157.0,80.19359252557246,21.805145748042676
240,82.318,1510,2043,550,1211,1590,8157.0,80.19463715503835,21.805145748042673
241,66.67,1661,2029,535,1184,1576,8157.0,80.19568178450429,21.805145748042676
242,79.543,2069,2194,877,957,1741,8157.0,80.19881567290207,21.805145748042676
243,75.673,2129,2254,938,1017,1801,8157.0,80.19986030236798,21.805145748042676
244,87.811,1261,1839,584,1431,1719,8157.0,80.19121470445178,21.804313725391673
245,89.623,1295,1874,619,1410,1754,8157.0,80.19225933015869,21.80431372539167
246,81.921,1342,1906,657,1319,1698,8157.0,80.19330395586562,21.804313725391673
247,86.829,1596,2122,629,1278,1669,8157.0,80.19434858157253,21.804313725391673
248,64.782,1689,2083,590,1239,1631,8157.0,80.19539320727945,21.804313725391673
249,16.63,2129,2254,938,1017,1801,8157.0,80.19852708440021,21.804313725391673
250,67.462,2129,2254,938,1017,1801,8157.0,80.19957171010712,21.80431372539167
251,91.963,1254,1941,577,1801,1821,8157.0,80.1898815342333,21.803481704580374
252,92.907,1254,1941,577,1801,1821,8157.0,80.19092615618139,21.80348170458037
253,60.799,1254,1941,577,1801,1821,8157.0,80.18959300363957,21.802649685608696
254,65.329,1254,1941,577,1801,1821,8157.0,80.19063762182903,21.802649685608696
255,62.555,1648,2212,963,1625,2003,8157.0,80.19377147639736,21.802649685608696
256,60.629,1648,2212,963,1625,2003,8157.0,80.1948160945868,21.802649685608696
257,19.197,1648,2212,963,1625,2003,8157.0,80.1945275591182,21.801817668476545
