,POP_2015,community_space,food_choices,mobility,ID_HDC_G0,lng,lat
313,19.137,1888,4354,609,12356.0,121.06365993282364,31.974149244468226
314,24.698,1888,4354,609,12356.0,121.06476480548723,31.974149244468226
315,2.752,1821,3159,1682,12356.0,121.02428279501314,31.973288247310297
316,4.898,1821,3159,1682,12356.0,121.025387661226,31.973288247310297
317,14.913,1842,3180,1703,12356.0,121.02649252743892,31.973288247310297
318,0.1,1405,3886,604,12356.0,121.05853364761289,31.973288247310297
319,0.012,1405,3886,604,12356.0,121.05963851382576,31.973288247310297
320,1.804,1677,4143,405,12356.0,121.06184824625157,31.973288247310297
321,5.902,5000,5000,2269,12356.0,121.12372075417369,31.9732882473103
322,7.377,5000,5000,2269,12356.0,121.12482562038659,31.973288247310297
323,17.923,691,2491,0,12356.0,121.04346370676812,31.972427253202
324,15.862,691,2491,0,12356.0,121.04456856653059,31.972427253201996
325,22.993,1725,4684,939,12356.0,121.06445604225495,31.972427253202003
326,18.207,1787,4622,878,12356.0,121.06556090201745,31.972427253202
327,25.652,2051,4907,1150,12356.0,121.06777062154234,31.972427253202
328,21.548,2051,4907,1150,12356.0,121.06887548130483,31.972427253202
329,17.804,5000,5000,1655,12356.0,121.11859417061578,31.972427253202003
330,18.573,5000,5000,2269,12356.0,121.12301360966562,31.972427253202
331,19.149,5000,5000,2183,12356.0,121.12411846942808,31.972427253202
332,7.544,5000,5000,2183,12356.0,121.12522332919058,31.972427253202003
333,14.55,1408,3209,717,12356.0,121.05049103049588,31.971566262143206
334,4.758,1408,3209,717,12356.0,121.0515958838082,31.971566262143202
335,7.996,1533,3333,841,12356.0,121.05270073712049,31.9715662621432
336,8.772,1725,4684,939,12356.0,121.06374927024368,31.971566262143206
337,14.493,1787,4622,878,12356.0,121.06485412355597,31.9715662621432
338,19.72,5000,5000,1175,12356.0,121.10241913617467,31.971566262143202
339,19.434,5000,5000,1175,12356.0,121.103523989487,31.9715662621432
340,4.172,5000,5000,1240,12356.0,121.10683854942393,31.971566262143202
341,0.663,5000,5000,1240,12356.0,121.10794340273625,31.9715662621432
342,24.53,5000,5000,1071,12356.0,121.11236281598552,31.971566262143202
343,17.835,5000,5000,1071,12356.0,121.11346766929783,31.971566262143202
344,31.82,5000,5000,1655,12356.0,121.1178870825471,31.9715662621432
345,23.191,5000,5000,1655,12356.0,121.11899193585937,31.9715662621432
346,20.823,5000,5000,2183,12356.0,121.12341134910868,31.971566262143206
