,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
507,3.842,1240,1957,1070,3701,3779,3450,3569.0,28.715009947353373,41.204200035735184
508,19.336,1216,1903,913,3647,3725,3395,3569.0,28.716200774481216,41.204200035735184
509,24.661,1344,1791,797,3535,3613,3284,3569.0,28.717391601609062,41.20420003573518
510,50.638,1408,1721,727,3465,3543,3214,3569.0,28.718582428736916,41.204200035735184
511,57.007,1718,1627,633,3371,3449,3120,3569.0,28.719773255864766,41.204200035735184
512,45.439,1578,1487,493,3231,3309,2980,3569.0,28.720964082992612,41.204200035735184
513,6.724,1586,1495,501,3239,3317,2988,3569.0,28.72215491012046,41.20420003573518
514,39.696,2109,1666,700,3427,3505,2964,3569.0,28.72334573724831,41.20420003573518
515,55.253,1795,1386,240,3130,3208,2836,3569.0,28.724536564376155,41.204200035735184
516,19.378,1840,1344,199,3088,3166,2788,3569.0,28.725727391504,41.20420003573518
517,3.07,2055,1269,406,3021,3099,2574,3569.0,28.726918218631848,41.204200035735184
518,22.573,2164,1191,531,2948,3026,2492,3569.0,28.72810904575969,41.20420003573518
519,41.638,2260,1242,627,2963,3041,2387,3569.0,28.72929987288754,41.20420003573518
520,31.469,2308,1213,675,2929,3007,2305,3569.0,28.730490700015395,41.20420003573518
521,31.155,2341,1297,829,3031,3109,2307,3569.0,28.73168152714324,41.204200035735184
522,22.907,2325,1323,919,3069,3147,2290,3569.0,28.732872354271088,41.204200035735184
523,8.039,2266,1320,860,3071,3149,2232,3569.0,28.73406318139893,41.20420003573518
524,1.963,2227,1320,820,3034,3112,2192,3569.0,28.735254008526777,41.204200035735184
525,25.81,2181,1406,795,3048,3126,2166,3569.0,28.73644483565463,41.204200035735184
526,3.237,2121,1466,734,2988,3066,2106,3569.0,28.737635662782473,41.204200035735184
527,16.267,1974,1652,744,2906,2984,1960,3569.0,28.73882648991032,41.20420003573518
528,29.193,1894,1732,673,2826,2904,1880,3569.0,28.740017317038173,41.204200035735184
529,54.543,1792,1844,662,2724,2802,1778,3569.0,28.741208144166016,41.20420003573518
530,83.005,1771,1984,702,2702,2780,1756,3569.0,28.742398971293866,41.204200035735184
531,72.188,1858,2095,789,2789,2867,1843,3569.0,28.74358979842172,41.204200035735184
532,39.362,1904,2181,874,2835,2913,1889,3569.0,28.744780625549566,41.204200035735184
533,53.102,1921,2198,892,2852,2930,1906,3569.0,28.745971452677413,41.20420003573518
534,18.773,1995,2328,1021,2926,3004,1980,3569.0,28.747162279805256,41.20420003573518
535,0.063,1850,2447,1182,2985,2959,2037,3569.0,28.748353106933106,41.20420003573518
536,1.879,1861,2746,1481,2996,2970,2048,3569.0,28.75073476118879,41.204200035735184
537,5.972,1967,2853,1588,3102,3077,2155,3569.0,28.751925588316645,41.204200035735184
538,3.362,2141,3026,1761,3276,3250,2328,3569.0,28.753116415444495,41.204200035735184
