,POP_2015,community_space,education,food_choices,nightlife,ID_HDC_G0,lng,lat
497,13.883,3042,2404,2365,5000,4733.0,36.10929218436983,-0.2584016820302595
498,33.53,3097,2459,2419,5000,4733.0,36.11028996804146,-0.258401682030259
499,59.515,3200,2561,2571,5000,4733.0,36.11128775171308,-0.25840168203025893
500,52.697,3315,2676,2451,5000,4733.0,36.1122855353847,-0.258401682030259
501,31.175,3199,2835,2610,5000,4733.0,36.11328331905634,-0.2584016820302599
502,13.325,2966,2821,2670,5000,4733.0,36.11527888639958,-0.2584016820302594
503,13.697,2966,2821,2670,5000,4733.0,36.11627667007122,-0.2584016820302594
504,28.045,2874,2818,2629,5000,4733.0,36.117274453742844,-0.258401682030259
505,4.122,2889,2833,2599,5000,4733.0,36.1192700210861,-0.258401682030259
506,4.242,3288,2601,2732,5000,4733.0,36.10031355119565,-0.25921045309894214
507,46.802,3024,2386,2513,5000,4733.0,36.10230911861738,-0.25921045309894214
508,80.41,3085,2446,2573,5000,4733.0,36.10330690232825,-0.25921045309894164
509,75.862,2945,2306,2433,5000,4733.0,36.10430468603913,-0.25921045309894214
510,67.562,2831,2193,2320,5000,4733.0,36.10530246975,-0.25921045309894214
511,41.556,2838,2200,2326,5000,4733.0,36.106300253460866,-0.2592104530989417
512,64.194,2808,2170,2297,5000,4733.0,36.107298037171745,-0.2592104530989426
513,31.113,2725,2086,2213,5000,4733.0,36.10829582088262,-0.2592104530989417
514,48.359,3149,2510,2508,5000,4733.0,36.11029138830436,-0.25921045309894264
515,39.914,3079,2441,2547,5000,4733.0,36.11128917201523,-0.25921045309894214
516,33.251,3199,2835,2610,5000,4733.0,36.11328473943697,-0.25921045309894164
517,37.714,3054,2767,2755,5000,4733.0,36.11428252314784,-0.25921045309894264
518,4.788,2966,2821,2670,5000,4733.0,36.11528030685872,-0.25921045309894164
519,65.48,2911,2766,2725,5000,4733.0,36.11627809056959,-0.25921045309894214
520,24.373,2662,2606,2841,5000,4733.0,36.11827365799133,-0.2592104530989417
521,18.361,2740,2684,2753,5000,4733.0,36.11927144170221,-0.25921045309894214
522,1.57,2994,2308,2439,5000,4733.0,36.10031497550337,-0.260019224187414
523,15.213,2972,2323,2454,5000,4733.0,36.10131275925361,-0.260019224187414
524,35.729,2959,2320,2447,5000,4733.0,36.10231054300385,-0.260019224187414
525,62.097,2963,2324,2451,5000,4733.0,36.10330832675409,-0.260019224187414
526,60.18,2905,2266,2393,5000,4733.0,36.104306110504325,-0.260019224187414
527,54.123,2789,2151,2278,5000,4733.0,36.10530389425457,-0.260019224187414
528,49.846,2805,2167,2294,5000,4733.0,36.106301678004805,-0.260019224187414
529,32.895,2668,2029,2156,5000,4733.0,36.10729946175505,-0.2600192241874135
530,45.74,2668,2029,2156,5000,4733.0,36.108297245505284,-0.260019224187414
531,42.765,3149,2511,2637,5000,4733.0,36.110292813005756,-0.26001922418741347
532,35.622,3047,2408,2535,5000,4733.0,36.11129059675601,-0.260019224187414
533,35.188,3121,2533,2660,5000,4733.0,36.11228838050623,-0.26001922418741447
534,10.133,2958,2671,2851,5000,4733.0,36.11428394800672,-0.2600192241874145
535,8.785,2862,2589,2904,5000,4733.0,36.115281731756944,-0.260019224187414
536,39.356,2830,2685,2806,5000,4733.0,36.116279515507195,-0.260019224187414
537,43.059,2716,2581,2921,5000,4733.0,36.11727729925743,-0.260019224187414
538,30.028,2662,2606,2841,5000,4733.0,36.118275083007674,-0.260019224187414
539,22.901,2662,2606,2841,5000,4733.0,36.1192728667579,-0.260019224187414
540,12.99,2943,2257,2388,5000,4733.0,36.10031640424838,-0.26082799529573697
541,20.087,2919,2270,2401,5000,4733.0,36.1013141880381,-0.2608279952957374
542,73.497,2845,2206,2333,5000,4733.0,36.10231197182783,-0.2608279952957369
543,64.198,2885,2247,2374,5000,4733.0,36.10330975561756,-0.26082799529573697
544,80.573,2650,2012,2139,5000,4733.0,36.104307539407294,-0.26082799529573697
545,69.013,2675,2037,2164,5000,4733.0,36.105305323197015,-0.26082799529573747
546,31.593,2514,1876,2003,5000,4733.0,36.10630310698674,-0.2608279952957374
547,29.238,2519,1880,2007,5000,4733.0,36.10730089077647,-0.26082799529573647
548,75.768,2889,2250,2377,5000,4733.0,36.11029424214566,-0.26082799529573747
549,24.048,2934,2296,2423,5000,4733.0,36.111292025935384,-0.2608279952957369
550,11.869,3044,2611,2738,5000,4733.0,36.11228980972511,-0.26082799529573697
551,4.075,2999,2646,2782,5000,4733.0,36.11328759351483,-0.26082799529573747
552,39.914,2958,2671,2851,5000,4733.0,36.11428537730457,-0.26082799529573647
553,33.577,2917,2630,2892,5000,4733.0,36.1152831610943,-0.26082799529573697
554,40.937,2729,2457,3034,5000,4733.0,36.116280944884025,-0.26082799529573747
555,27.952,2729,2583,2907,5000,4733.0,36.11727872867376,-0.26082799529573697
556,35.498,2585,2450,3051,5000,4733.0,36.11827651246348,-0.2608279952957374
557,49.598,2539,2483,2964,5000,4733.0,36.1192742962532,-0.26082799529573647
558,19.863,2859,2172,2303,5000,4733.0,36.100317837430644,-0.26163676642397315
559,6.383,2913,2227,2357,5000,4733.0,36.10131562125998,-0.26163676642397266
560,48.536,2759,2120,2247,5000,4733.0,36.10231340508931,-0.2616367664239731
561,10.197,2668,2029,2156,5000,4733.0,36.10331118891866,-0.26163676642397315
562,66.053,2602,1963,2090,5000,4733.0,36.104308972748,-0.26163676642397266
563,61.978,2574,1935,2062,5000,4733.0,36.10530675657734,-0.2616367664239727
564,13.155,2388,1750,1876,5000,4733.0,36.10630454040668,-0.26163676642397266
565,29.207,2719,2081,2208,5000,4733.0,36.10830010806536,-0.26163676642397266
566,66.565,2695,2057,2184,5000,4733.0,36.1092978918947,-0.2616367664239727
567,76.28,2810,2172,2299,5000,4733.0,36.110295675724046,-0.2616367664239727
568,46.36,2969,2330,2457,5000,4733.0,36.11129345955338,-0.26163676642397315
569,62.799,2999,2646,2782,5000,4733.0,36.11229124338272,-0.26163676642397315
570,42.75,2926,2573,2850,5000,4733.0,36.11328902721206,-0.26163676642397266
571,19.539,2858,2505,2858,5000,4733.0,36.114286811041396,-0.26163676642397315
572,12.628,2785,2498,2929,5000,4733.0,36.115284594870744,-0.26163676642397365
573,60.15,2670,2398,3143,5000,4733.0,36.116282378700085,-0.2616367664239722
574,58.337,2599,2327,3164,5000,4733.0,36.117280162529426,-0.26163676642397315
575,56.788,2585,2450,3051,5000,4733.0,36.118277946358766,-0.26163676642397266
576,24.513,2719,2033,2164,5000,4733.0,36.100319275050175,-0.2624455375721829
577,26.164,2685,2046,2173,5000,4733.0,36.10131705891925,-0.26244553757218386
