,POP_2015,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
142,88.17,1985,469,1471,1309,7845.0,78.93334920993274,22.047342852903025
143,74.505,1866,350,1352,1267,7845.0,78.93439494099546,22.04734285290302
144,66.202,1760,254,1246,1212,7845.0,78.93544067205818,22.047342852903025
145,85.192,2146,167,1632,1546,7845.0,78.9320157474762,22.046510291294087
146,129.128,2146,167,1632,1546,7845.0,78.9330614747269,22.04651029129409
147,75.176,2458,479,1944,1858,7845.0,78.92963658300725,22.045677731549574
148,68.697,2356,377,1842,1756,7845.0,78.93068230644614,22.045677731549574
149,125.442,2224,245,1709,1624,7845.0,78.93172802988506,22.045677731549574
150,122.351,2146,167,1632,1546,7845.0,78.93277375332396,22.045677731549578
151,108.277,2090,0,1576,1542,7845.0,78.93381947676285,22.045677731549574
152,102.766,2090,0,1576,1542,7845.0,78.93486520020174,22.045677731549578
153,56.67,2506,527,1992,1906,7845.0,78.9293488868417,22.044845173669394
154,163.607,2401,422,1887,1801,7845.0,78.93039460646898,22.04484517366939
155,162.527,2330,351,1815,1730,7845.0,78.93144032609625,22.044845173669394
156,95.282,2090,0,1576,1542,7845.0,78.93353176535078,22.044845173669394
157,141.08,2090,0,1576,1542,7845.0,78.93457748497804,22.044845173669394
158,140.484,2556,520,2042,1956,7845.0,78.93010692029353,22.04401261765347
159,165.841,2452,407,1938,1852,7845.0,78.93115263610935,22.044012617653472
160,132.404,2418,362,1904,1818,7845.0,78.93219835192515,22.044012617653472
161,114.755,2302,212,1788,1755,7845.0,78.93324406774099,22.04401261765347
162,35.41,2591,547,2077,1992,7845.0,78.92981924791937,22.04318006350171
163,124.883,2507,453,1993,1907,7845.0,78.93086495992392,22.04318006350171
164,49.931,2302,212,1788,1755,7845.0,78.93295638393305,22.043180063501712
