,POP_2015,active_living,community_space,education,food_choices,mobility,nightlife,ID_HDC_G0,lng,lat
126,96.554,943,796,585,210,1671,943,11825.0,110.23997948909066,21.381882222300806
127,124.078,814,667,455,270,1635,814,11825.0,110.2410222285475,21.38188222230081
128,81.363,755,607,396,330,1576,755,11825.0,110.24206496800436,21.381882222300803
129,123.089,675,528,316,417,1496,675,11825.0,110.24310770746125,21.38188222230081
130,150.146,583,508,141,654,1477,655,11825.0,110.2441504469181,21.381882222300806
131,120.232,469,573,254,541,1529,651,11825.0,110.24519318637495,21.38188222230081
132,95.565,141,616,313,212,1200,323,11825.0,110.24623592583184,21.381882222300806
133,105.811,142,618,332,193,1202,324,11825.0,110.24727866528869,21.381882222300803
134,91.389,79,554,408,115,1138,261,11825.0,110.24832140474558,21.38188222230081
135,122.539,305,673,634,0,1364,487,11825.0,110.24936414420245,21.381882222300806
136,89.522,775,328,596,469,1378,957,11825.0,110.25249236257304,21.381882222300806
137,80.924,716,387,537,410,1378,898,11825.0,110.2535351020299,21.381882222300806
138,113.749,975,483,492,669,1177,1157,11825.0,110.25457784148675,21.38188222230081
139,99.987,1004,510,505,699,1148,1186,11825.0,110.25562058094363,21.381882222300806
140,102.267,1049,632,594,899,961,1386,11825.0,110.25666332040049,21.38188222230081
141,51.807,749,810,551,1284,637,1364,11825.0,110.25770605985737,21.381882222300806
142,150.283,749,810,551,1284,637,1364,11825.0,110.25874879931422,21.381882222300806
143,137.4,600,914,700,1434,488,1513,11825.0,110.2597915387711,21.381882222300803
144,58.262,344,965,833,1533,233,1645,11825.0,110.26083427822795,21.381882222300806
145,12.141,327,983,850,1551,215,1663,11825.0,110.26187701768482,21.381882222300806
146,70.898,105,1282,1139,1850,263,1951,11825.0,110.26291975714169,21.381882222300803
147,81.676,105,1282,1139,1850,263,1951,11825.0,110.26396249659855,21.381882222300806
148,113.584,268,1340,1302,1917,256,2125,11825.0,110.26500523605543,21.381882222300806
149,42.302,2215,2068,1856,1332,2793,2215,11825.0,110.23229261580427,21.381051125157466
150,7.169,1156,1008,797,273,1734,1156,11825.0,110.23750629475161,21.381051125157466
151,26.508,969,822,611,150,1612,969,11825.0,110.23854903054107,21.381051125157466
152,88.697,891,744,533,133,1594,891,11825.0,110.23959176633059,21.381051125157466
153,95.62,789,642,431,194,1589,789,11825.0,110.24063450212003,21.381051125157466
154,115.645,727,580,368,333,1548,727,11825.0,110.24167723790951,21.381051125157466
155,116.716,662,515,304,349,1484,662,11825.0,110.24271997369897,21.381051125157466
156,133.335,517,370,159,526,1339,517,11825.0,110.24376270948841,21.381051125157462
157,139.021,469,573,254,541,1529,651,11825.0,110.24480544527793,21.381051125157466
158,95.702,140,616,348,177,1199,322,11825.0,110.24689091685683,21.381051125157466
159,56.284,39,515,431,155,1098,221,11825.0,110.24793365264631,21.381051125157466
160,112.843,383,774,103,420,1358,481,11825.0,110.2510618600147,21.381051125157466
161,101.031,749,810,551,1284,637,1364,11825.0,110.25731827475154,21.381051125157466
162,92.845,749,810,551,1284,637,1364,11825.0,110.258361010541,21.381051125157466
163,79.768,600,914,700,1434,488,1513,11825.0,110.25940374633049,21.381051125157466
164,73.48,421,1049,757,1490,309,1569,11825.0,110.26044648211996,21.381051125157466
165,84.577,351,1050,878,1600,200,1691,11825.0,110.26148921790941,21.381051125157462
166,114.463,282,1105,962,1673,92,1775,11825.0,110.26253195369888,21.381051125157466
167,92.433,201,1367,1224,1935,168,2036,11825.0,110.26357468948835,21.38105112515747
168,78.589,268,1340,1302,1917,256,2125,11825.0,110.2646174252778,21.381051125157466
169,12.553,2215,2068,1856,1332,2793,2215,11825.0,110.23190493760346,21.380220029811003
170,43.566,2215,2068,1856,1332,2793,2215,11825.0,110.23294766972569,21.380220029811
171,84.742,882,735,524,0,1461,882,11825.0,110.2392040624592,21.380220029811
172,76.364,878,731,519,4,1465,878,11825.0,110.24024679458144,21.380220029810996
173,93.477,732,585,373,150,1553,732,11825.0,110.2412895267037,21.380220029811
174,89.576,594,447,236,288,1416,594,11825.0,110.24233225882594,21.380220029811003
175,132.538,469,322,110,477,1290,469,11825.0,110.24337499094818,21.380220029811003
