,POP_2015,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
223,0.393,5000,3484,2341,3870,8195.0,77.45733829122565,10.009832736523292
224,0.262,5000,3484,2341,3870,8195.0,77.4583455584453,10.009832736523295
225,96.067,3247,421,8,35,8195.0,77.47647636839925,10.009832736523293
226,114.662,3146,503,0,117,8195.0,77.47748363561891,10.009832736523295
227,109.706,3074,582,0,196,8195.0,77.47849090283857,10.00983273652329
228,35.593,2670,1370,74,984,8195.0,77.48453450615655,10.009832736523295
229,159.07,2864,1564,183,1161,8195.0,77.48554177337623,10.009832736523295
230,13.572,5000,3373,2231,3759,8195.0,77.45721845083216,10.009019205051437
231,10.168,5000,3373,2231,3759,8195.0,77.4582257164934,10.009019205051437
232,2.051,4193,543,339,929,8195.0,77.46829837310578,10.009019205051436
233,61.672,3533,154,154,396,8195.0,77.47434196707324,10.009019205051437
234,140.741,3450,199,123,186,8195.0,77.47534923273447,10.009019205051436
235,164.891,3513,323,0,310,8195.0,77.4763564983957,10.009019205051437
236,129.697,2714,935,0,549,8195.0,77.48038556104066,10.009019205051437
237,157.905,2719,938,0,552,8195.0,77.48139282670189,10.009019205051437
238,41.248,2595,1296,0,910,8195.0,77.48340735802438,10.009019205051436
239,117.29,2670,1370,74,984,8195.0,77.48441462368564,10.009019205051437
240,201.182,2796,1496,200,1110,8195.0,77.48542188934685,10.009019205051436
241,155.344,2945,1646,350,1260,8195.0,77.4864291550081,10.009019205051437
242,130.462,3040,1740,430,1354,8195.0,77.48743642066933,10.00901920505144
243,3.447,5000,3373,2231,3759,8195.0,77.45709862069691,10.008205674359612
244,20.379,5000,3373,2231,3759,8195.0,77.45810588479986,10.008205674359612
245,0.087,4786,1136,932,1522,8195.0,77.46314220531461,10.008205674359612
246,44.94,4193,543,339,929,8195.0,77.46817852582936,10.008205674359614
247,114.762,4193,543,339,929,8195.0,77.46918578993233,10.008205674359614
248,132.026,3645,4,4,381,8195.0,77.47321484634412,10.008205674359614
249,77.872,3565,85,85,301,8195.0,77.47422211044707,10.008205674359612
250,133.656,3496,153,153,232,8195.0,77.47522937455001,10.008205674359612
251,165.423,3513,323,0,310,8195.0,77.47623663865295,10.008205674359612
252,160.933,3383,454,0,441,8195.0,77.47724390275592,10.008205674359614
253,128.699,2714,935,0,549,8195.0,77.48026569506477,10.008205674359614
254,129.132,2714,935,0,549,8195.0,77.48127295916771,10.008205674359612
255,134.354,2479,1179,4,793,8195.0,77.4832874873736,10.008205674359612
256,138.18,2595,1296,0,910,8195.0,77.48429475147655,10.008205674359614
257,146.762,2773,1473,177,1087,8195.0,77.48530201557952,10.008205674359614
258,151.485,2903,1603,307,1217,8195.0,77.48630927968247,10.008205674359612
259,58.612,2945,1646,350,1260,8195.0,77.48731654378541,10.008205674359612
260,59.393,5000,3156,2013,3542,8195.0,77.45697880081984,10.007392144447751
261,78.57,4786,1136,932,1522,8195.0,77.46302237608859,10.007392144447753
262,12.973,4740,1090,887,1476,8195.0,77.46402963863338,10.007392144447751
263,22.753,4617,967,763,1353,8195.0,77.46503690117818,10.007392144447754
264,122.812,3641,8,8,377,8195.0,77.47309500153652,10.007392144447753
265,184.484,3641,8,8,377,8195.0,77.47410226408131,10.007392144447751
266,129.431,3492,460,109,446,8195.0,77.4761167891709,10.007392144447751
267,149.456,3492,460,109,446,8195.0,77.4771240517157,10.007392144447751
268,174.671,2906,1175,376,1162,8195.0,77.48216036443968,10.007392144447751
269,163.328,2475,1175,0,789,8195.0,77.48316762698445,10.007392144447751
270,5.149,5000,3147,2004,3533,8195.0,77.45685899120073,10.00657861531579
271,55.817,4740,1090,887,1476,8195.0,77.46290255712135,10.006578615315789
272,74.978,4740,1090,887,1476,8195.0,77.46390981810812,10.00657861531579
273,63.967,4617,967,763,1353,8195.0,77.4649170790949,10.00657861531579
274,110.437,3696,664,313,650,8195.0,77.47801147192293,10.00657861531579
275,0.765,3064,773,25,759,8195.0,77.47901873290968,10.00657861531579
276,75.976,3038,799,25,785,8195.0,77.48002599389648,10.006578615315789
277,176.267,2968,868,69,855,8195.0,77.48103325488323,10.00657861531579
278,66.129,2909,1170,370,1156,8195.0,77.48204051587,10.006578615315789
