,POP_2015,community_space,education,food_choices,ID_HDC_G0,lng,lat
183,19.248,0,0,1022,11822.0,105.78856194992295,-5.584291354799364
184,7.53,0,0,1022,11822.0,105.78956265997371,-5.584291354799361
185,6.847,0,213,1235,11822.0,105.78865220731932,-5.585101598099447
186,24.379,442,1659,2623,11822.0,105.77573322516565,-5.5859118418286515
187,25.368,213,1454,2418,11822.0,105.77773464868258,-5.585911841828651
188,0.16,0,213,1235,11822.0,105.78874247802563,-5.585911841828651
189,0.916,0,213,1235,11822.0,105.7897431897841,-5.5859118418286515
190,0.0,602,1800,1674,11822.0,105.78282848636697,-5.586722085987035
191,0.0,708,1841,1568,11822.0,105.78382919897948,-5.58672208598704
192,0.029,708,1841,1568,11822.0,105.78482991159197,-5.586722085987034
193,26.72,287,1555,2564,11822.0,105.77591378430175,-5.587532330574668
194,22.111,0,1390,2277,11822.0,105.7779152112351,-5.587532330574668
195,0.0,208,1598,2068,11822.0,105.77991663816844,-5.587532330574668
196,0.0,562,1760,1714,11822.0,105.78291877856849,-5.587532330574667
197,0.0,562,1760,1714,11822.0,105.78391949203514,-5.587532330574667
198,15.395,287,1555,2564,11822.0,105.77600408383267,-5.588342575591604
199,18.71,0,1390,2277,11822.0,105.77800551247462,-5.588342575591604
200,18.434,485,1343,2430,11822.0,105.77609439667233,-5.589152821037912
201,13.273,209,1181,2158,11822.0,105.77809582702314,-5.589152821037913
202,10.423,209,1181,2158,11822.0,105.77909654219854,-5.589152821037914
203,17.009,151,636,936,11822.0,105.78910369395247,-5.589152821037914
204,9.944,151,636,936,11822.0,105.79010440912786,-5.589152821037912
205,15.962,485,1343,2430,11822.0,105.77618472282082,-5.589963066913656
206,1.396,209,1181,2158,11822.0,105.77818615488073,-5.589963066913656
207,3.242,209,1181,2158,11822.0,105.77918687091065,-5.589963066913655
208,3.067,151,636,936,11822.0,105.78919403121007,-5.589963066913657
209,14.13,151,636,936,11822.0,105.79019474724,-5.589963066913656
210,12.052,678,1150,2238,11822.0,105.77627506227826,-5.590773313218893
211,13.563,0,788,784,11822.0,105.78928438177824,-5.590773313218894
212,16.078,0,788,784,11822.0,105.79028509866285,-5.590773313218894
213,4.347,678,1150,2238,11822.0,105.7763654150447,-5.591583559953694
214,27.592,77,865,707,11822.0,105.78937474565708,-5.591583559953694
215,1.992,97,885,687,11822.0,105.7903754633965,-5.591583559953692
216,11.615,97,885,687,11822.0,105.78946512284668,-5.592393807118115
217,4.565,97,885,687,11822.0,105.79046584144105,-5.592393807118116
218,18.39,620,934,2022,11822.0,105.77654616050508,-5.593204054712222
219,2.195,620,934,2022,11822.0,105.77754687995446,-5.593204054712222
220,11.383,416,731,1819,11822.0,105.77854759940385,-5.593204054712221
221,32.477,518,740,1717,11822.0,105.77954831885326,-5.593204054712224
222,13.098,665,837,1486,11822.0,105.78154975775205,-5.593204054712222
223,18.434,0,1080,492,11822.0,105.7895555133472,-5.5932040547122215
224,2.195,0,1080,492,11822.0,105.79055623279659,-5.593204054712222
225,9.406,416,731,1819,11822.0,105.77863799380835,-5.594014302736081
226,17.59,518,740,1717,11822.0,105.7796387141129,-5.594014302736077
227,18.099,665,837,1486,11822.0,105.78164015472208,-5.5940143027360785
228,20.89,628,1176,665,11822.0,105.78664375624491,-5.594014302736079
229,37.856,0,1080,492,11822.0,105.78964591715862,-5.594014302736079
230,25.615,0,1080,492,11822.0,105.79064663746321,-5.5940143027360785
231,17.779,432,746,1854,11822.0,105.77672695920282,-5.594824551189748
232,4.245,432,746,1854,11822.0,105.77772768036267,-5.594824551189749
233,29.235,208,522,1630,11822.0,105.77872840152254,-5.594824551189748
234,15.962,313,532,1524,11822.0,105.77972912268244,-5.594824551189749
235,3.46,313,532,1524,11822.0,105.78072984384231,-5.594824551189748
236,31.314,463,635,1387,11822.0,105.78173056500218,-5.594824551189748
237,11.63,684,856,1184,11822.0,105.78373200732192,-5.594824551189748
238,13.738,628,1176,665,11822.0,105.78673417080155,-5.59482455118975
239,15.511,432,746,1854,11822.0,105.77681737851593,-5.595634800073293
240,11.979,432,746,1854,11822.0,105.77781810053123,-5.5956348000732925
